회사코드,회사명,상장여부,업데이트일
1850,동원금속,상장,20251217
17090,동아에스티,상장,20251217
64,동아쏘시오홀딩스,상장,20251217
46086,동국제강,상장,20251217
215,도화엔지니어링,상장,20251217
1251,더존비즈온,상장,20251217
19208,더블유게임즈,상장,20251217
588,대한해운,상장,20251217
349,대한항공,상장,20251217
322,대원제약,상장,20251217
354,대신증권,상장,20251217
2359,다우기술,상장,20251217
25127,넷마블,상장,20251217
235,넥센타이어,상장,20251217
2411,기업은행,상장,20251217
27,기아,상장,20251217
3061,교보증권,상장,20251217
3525,강원랜드,상장,20251217
290,TYM,상장,20251217
271,TCC스틸,상장,20251217
3653,SNT홀딩스,상장,20251217
28513,SK케미칼,상장,20251217
47515,SK이터닉스,상장,20251217
9677,SK이노베이션,상장,20251217
40234,SK스퀘어,상장,20251217
30244,SK바이오사이언스,상장,20251217
612,SK디스커버리,상장,20251217
1867,SK가스,상장,20251217
1179,SKC,상장,20251217
3473,SK,상장,20251217
509,SGC에너지,상장,20251217
3019,NICE평가정보,상장,20251217
594,NH투자증권,상장,20251217
10867,LX하우시스,상장,20251217
112,LX인터내셔널,상장,20251217
10832,LX세미콘,상장,20251217
6657,LG전자,상장,20251217
3264,LG유플러스,상장,20251217
5886,KTis,상장,20251217
139,KG케미칼,상장,20251217
10556,KB금융,상장,20251217
9676,JW홀딩스,상장,20251217
106,JW중외제약,상장,20251217
23408,JW생명과학,상장,20251217
17533,JB금융지주,상장,20251217
1120,HMM,상장,20251217
20432,HL만도,상장,20251217
9723,HJ중공업,상장,20251217
32918,HD현대중공업,상장,20251217
32200,HD현대에너지솔루션,상장,20251217
44306,HD현대마린솔루션,상장,20251217
26725,HD현대,상장,20251217
954,HD한국조선해양,상장,20251217
7893,GS,상장,20251217
11409,GKL,상장,20251217
36555,ESR켄달스퀘어리츠,상장,20251217
1794,E1,상장,20251217
37550,DL이앤씨,상장,20251217
21,DL,상장,20251217
13913,iM금융지주,상장,20251217
99,DB하이텍,상장,20251217
583,DB손해보험,상장,20251217
1661,DB증권,상장,20251217
12,CJ대한통운,상장,20251217
684,AK홀딩스,상장,20251217
626,LS,상장,20251217
144,대한전선,상장,20251217
1245,한화에어로스페이스,상장,20251217
3020,케이티,상장,20251217
49,대동,상장,20251217
1012,엘에스일렉트릭,상장,20251217
8,하이트진로,상장,20251217
6098,HL홀딩스,상장,20251217
26727,HD현대건설기계,상장,20251217
11177,영원무역,상장,20251217
1121,현대위아,상장,20251217
997,영원무역홀딩스,상장,20251217
72,현대건설,상장,20251217
3423,파라다이스,상장,20251217
469,삼천리,상장,20251217
150,현대차증권,상장,20251217
1358,계룡건설산업,상장,20251217
3121,서울보증보험,상장,20251217
26726,HD현대일렉트릭,상장,20251217
168,대상,상장,20251217
9572,웅진씽크빅,상장,20251217
38322,F&F,상장,20251217
770,F&F 홀딩스,상장,20251217
367,포스코퓨처엠,상장,20251217
9223,KPX홀딩스,상장,20251217
307,코오롱글로벌,상장,20251217
10009,SK오션플랜트,상장,20251217
153,디아이동일,상장,20251217
45226,한화갤러리아,상장,20251217
622,제주은행,상장,20251217
123,동국홀딩스,상장,20251217
46085,동국씨엠,상장,20251217
67,영풍,상장,20251217
232,한진,상장,20251217
324,태광산업,상장,20251217
24,한국앤컴퍼니,상장,20251217
3021,다올투자증권,상장,20251217
1078,아이에스동서,상장,20251217
3283,삼성생명,상장,20251217
3483,한국토지신탁,상장,20251217
7,삼양홀딩스,상장,20251217
174,SK네트웍스,상장,20251217
1586,일진홀딩스,상장,20251217
8959,제주항공,상장,20251217
496,한신공영,상장,20251217
20088,서연이화,상장,20251217
8469,대상홀딩스,상장,20251217
1781,풀무원,상장,20251217
14599,삼양사,상장,20251217
45008,에코프로머티,상장,20251217
665,대한유화,상장,20251217
18064,한진칼,상장,20251217
40,롯데손해보험,상장,20251217
